 node, mean, sd, MC error,2.50%,median,97.50%,start,sample
M.pos[116],0.4565,0.4981,0.003537,0,0,1,1001,22000
M.pos[117],0.9642,0.1858,0.001256,0,1,1,1001,22000
M.pos[118],0.4186,0.4933,0.003238,0,0,1,1001,22000
M.pos[119],0.32,0.4665,0.003374,0,0,1,1001,22000
M.pos[120],0.3357,0.4722,0.003441,0,0,1,1001,22000
M.pos[121],0.5313,0.499,0.003887,0,1,1,1001,22000
M.pos[122],0.9071,0.2902,0.002097,0,1,1,1001,22000
M.pos[123],0.4956,0.5,0.003489,0,0,1,1001,22000
M.pos[124],0.4696,0.4991,0.0038,0,0,1,1001,22000
M.pos[125],0.538,0.4986,0.003789,0,1,1,1001,22000
M.pos[126],0.6934,0.4611,0.003611,0,1,1,1001,22000
M.pos[127],0.3339,0.4716,0.003672,0,0,1,1001,22000
M.pos[128],0.811,0.3915,0.002772,0,1,1,1001,22000
M.pos[129],0.467,0.4989,0.003458,0,0,1,1001,22000
M.pos[130],0.5162,0.4997,0.003477,0,1,1,1001,22000
M.pos[131],0.2872,0.4525,0.003648,0,0,1,1001,22000
M.pos[132],0.459,0.4983,0.003723,0,0,1,1001,22000
M.pos[133],0.3707,0.483,0.003054,0,0,1,1001,22000
M.pos[134],0.7808,0.4137,0.003212,0,1,1,1001,22000
M.pos[135],0.631,0.4825,0.003565,0,1,1,1001,22000
M.pos[136],0.5666,0.4955,0.003802,0,1,1,1001,22000
M.pos[137],0.5936,0.4912,0.00359,0,1,1,1001,22000
